,date,state,city,newCases
1943,2020-05-20,SP,TOTAL,3864
1971,2020-05-21,SP,TOTAL,3880
1999,2020-05-22,SP,TOTAL,3132
2027,2020-05-23,SP,TOTAL,3687
2055,2020-05-24,SP,TOTAL,1603
2083,2020-05-25,SP,TOTAL,1464
2111,2020-05-26,SP,TOTAL,2392
2139,2020-05-27,SP,TOTAL,3466
2167,2020-05-28,SP,TOTAL,6382
2195,2020-05-29,SP,TOTAL,5691
2223,2020-05-30,SP,TOTAL,5586
2251,2020-05-31,SP,TOTAL,2556
2279,2020-06-01,SP,TOTAL,1598
2307,2020-06-02,SP,TOTAL,6999
2335,2020-06-03,SP,TOTAL,5188
2363,2020-06-04,SP,TOTAL,5717
2391,2020-06-05,SP,TOTAL,5365
2419,2020-06-06,SP,TOTAL,5984
2447,2020-06-07,SP,TOTAL,2524
2475,2020-06-08,SP,TOTAL,1520
2503,2020-06-09,SP,TOTAL,5545
2531,2020-06-10,SP,TOTAL,6178
2559,2020-06-11,SP,TOTAL,6204
2587,2020-06-12,SP,TOTAL,5380
2615,2020-06-13,SP,TOTAL,4975
2643,2020-06-14,SP,TOTAL,5327
2671,2020-06-15,SP,TOTAL,3258
2699,2020-06-16,SP,TOTAL,8825
2727,2020-06-17,SP,TOTAL,1232
2755,2020-06-18,SP,TOTAL,1111
2783,2020-06-19,SP,TOTAL,19030
2811,2020-06-20,SP,TOTAL,4135
2839,2020-06-21,SP,TOTAL,3392
2867,2020-06-22,SP,TOTAL,2788
2895,2020-06-23,SP,TOTAL,7502
2923,2020-06-24,SP,TOTAL,9347
2951,2020-06-25,SP,TOTAL,9765
2979,2020-06-26,SP,TOTAL,9921
3007,2020-06-27,SP,TOTAL,7073
3035,2020-06-28,SP,TOTAL,6156
3063,2020-06-29,SP,TOTAL,3408
3091,2020-06-30,SP,TOTAL,6235
3119,2020-07-01,SP,TOTAL,8555
3147,2020-07-02,SP,TOTAL,12244
3175,2020-07-03,SP,TOTAL,8523
3203,2020-07-04,SP,TOTAL,1828
3231,2020-07-05,SP,TOTAL,7649
3259,2020-07-06,SP,TOTAL,2891
3287,2020-07-07,SP,TOTAL,9638
3315,2020-07-08,SP,TOTAL,8657
3343,2020-07-09,SP,TOTAL,8350
3371,2020-07-10,SP,TOTAL,9395
3399,2020-07-11,SP,TOTAL,7780
3427,2020-07-12,SP,TOTAL,5107
3455,2020-07-13,SP,TOTAL,2610
3483,2020-07-14,SP,TOTAL,12000
3511,2020-07-15,SP,TOTAL,6569
3539,2020-07-16,SP,TOTAL,8872
3567,2020-07-17,SP,TOTAL,5367
3595,2020-07-18,SP,TOTAL,4612
3623,2020-07-19,SP,TOTAL,3022
3651,2020-07-20,SP,TOTAL,1385
