,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06
newDeaths,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,2,12,1,1,12,1,4,17,0,10,7,2,25,10,13,11,20,25,9,17,15,18,32,22,33,50,21,20,33,42,47,99,39,35,83,54,54,94,65,52,75,91,109,24,153,48,27,107,108,44,261,90,57,16,169,110,68,62,126,97,54,178,316,101,208,94,58,17,210,167,160,189,104,17,56,156,151,115,86,104,23,3,95,110,87,80,67,25,8,81,70,57,104,66,68,0,63,59,CE,,,,,,,,,,,
newDeaths,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,2,1,0,0,3,2,2,1,0,3,3,3,1,6,1,2,2,1,4,6,1,3,2,2,3,5,6,3,2,2,7,5,5,8,8,9,13,7,6,13,4,6,10,9,11,6,4,12,14,8,9,2,3,6,6,10,6,5,5,3,5,16,5,9,8,8,2,8,4,5,8,9,4,0,3,5,AC,,,,,,,,,,,
newDeaths,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,2,2,3,1,6,0,5,6,1,1,1,3,5,10,33,9,19,8,10,24,68,39,43,11,27,31,35,78,86,36,62,140,102,108,73,80,48,57,112,162,224,115,110,147,140,141,91,83,180,115,20,3,96,125,101,247,173,0,13,157,63,82,110,42,59,10,90,59,45,74,50,64,22,67,54,22,55,31,11,25,50,40,44,46,19,27,9,23,41,PA,,,,,,,,,,,
newDeaths,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,3,4,0,2,0,3,5,3,2,2,1,3,1,6,1,4,2,3,1,3,4,5,5,7,2,3,6,7,9,10,3,10,11,4,15,3,3,10,13,11,13,12,11,15,3,10,14,7,7,12,20,9,20,13,10,9,35,24,13,16,17,23,27,25,11,40,13,10,23,15,25,13,15,19,23,18,23,21,14,22,32,15,20,46,25,42,18,20,17,19,27,PB,,,,,,,,,,,
newDeaths,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,0,0,0,2,1,2,7,2,1,3,0,5,6,4,5,2,2,0,1,6,6,1,3,2,1,2,3,3,3,5,9,3,0,15,6,4,4,2,2,4,4,9,3,7,8,8,3,1,2,2,3,5,1,3,5,4,5,2,4,5,4,4,0,TO,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,2,2,1,0,1,1,1,2,1,3,0,0,2,2,0,1,1,5,2,1,4,3,4,8,3,0,5,7,8,5,2,4,2,6,8,3,9,15,4,8,11,4,7,12,12,10,15,7,15,15,11,18,16,18,18,25,14,19,5,23,14,24,26,17,15,17,12,28,18,23,28,20,23,11,29,36,22,25,25,24,PI,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,1,0,3,0,0,1,2,0,1,2,2,2,3,3,2,3,3,3,3,3,6,6,1,5,5,3,3,1,13,8,7,2,5,11,8,9,6,9,6,5,1,5,5,10,15,9,8,7,6,9,10,7,6,9,3,6,7,4,14,9,7,5,5,8,1,4,6,5,6,13,8,7,7,7,5,1,6,4,3,7,11,3,1,7,6,AP,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,7,1,4,5,3,3,5,2,3,3,4,4,6,6,6,10,12,12,12,13,20,21,18,20,20,13,12,22,20,14,25,25,24,20,24,21,26,26,28,25,27,28,30,29,30,29,32,30,33,36,34,24,21,23,21,21,31,34,33,37,38,38,39,38,37,38,39,37,31,32,38,33,37,38,39,37,39,37,39,35,35,37,39,30,36,33,38,34,32,34,31,36,MA,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,2,1,1,1,3,2,1,0,3,2,0,2,3,0,3,2,1,4,7,3,1,5,4,8,4,5,7,10,12,13,14,13,10,18,18,14,10,27,22,23,27,19,29,24,29,22,31,28,29,30,27,39,36,41,35,45,35,36,39,MT,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,3,0,1,4,1,2,5,1,1,4,4,4,2,2,2,4,3,0,6,6,7,5,9,5,2,11,5,9,6,0,12,4,5,3,6,5,3,13,8,14,19,15,7,10,10,12,26,3,13,15,8,14,15,13,17,18,8,15,12,11,12,9,5,5,14,18,5,7,3,15,7,3,19,RO,,,,,,,,,,,
newDeaths,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,2,0,0,2,1,2,2,3,3,4,1,8,3,9,2,9,4,0,8,11,-2,3,2,16,0,6,2,6,0,4,4,0,15,0,3,3,23,14,6,4,5,3,3,13,8,0,15,6,6,0,0,8,12,2,8,0,0,2,31,40,4,6,4,3,5,10,RR,,,,,,,,,,,
